section,key,count
summary,candidate_count,100
summary,approved_count,0
summary,rejected_count,100
reject_reason,target_return_below_threshold,99
reject_reason,vwap_relationship_blocked,1
blocked_by_threshold,CELH,1
blocked_by_threshold,ONON,1
blocked_by_threshold,INSM,1
blocked_by_threshold,FROG,1
blocked_by_threshold,DNLI,1
blocked_by_threshold,WAY,1
blocked_by_threshold,QBTS,1
blocked_by_threshold,INDV,1
blocked_by_threshold,BNL,1
blocked_by_threshold,SCO,1
blocked_by_threshold,ODFL,1
blocked_by_threshold,CRBG,1
blocked_by_threshold,DHI,1
blocked_by_threshold,PRMB,1
blocked_by_threshold,LBRT,1
blocked_by_threshold,VSCO,1
blocked_by_threshold,GM,1
blocked_by_threshold,IBKR,1
blocked_by_threshold,TAP,1
blocked_by_threshold,RCL,1
blocked_by_threshold,LULU,1
blocked_by_threshold,ODD,1
blocked_by_threshold,TSEM,1
blocked_by_threshold,OKE,1
blocked_by_threshold,VIK,1
blocked_by_threshold,DAL,1
blocked_by_threshold,QURE,1
blocked_by_threshold,SPOT,1
blocked_by_threshold,DOCS,1
blocked_by_threshold,NU,1
blocked_by_threshold,COF,1
blocked_by_threshold,PSTG,1
blocked_by_threshold,WELL,1
blocked_by_threshold,TRGP,1
blocked_by_threshold,ALKS,1
blocked_by_threshold,Q,1
blocked_by_threshold,UCO,1
blocked_by_threshold,LNC,1
blocked_by_threshold,F,1
blocked_by_threshold,RCAT,1
blocked_by_threshold,NESR,1
blocked_by_threshold,HBAN,1
blocked_by_threshold,DOCN,1
blocked_by_threshold,MET,1
blocked_by_threshold,SMFG,1
blocked_by_threshold,CNH,1
blocked_by_threshold,KMI,1
blocked_by_threshold,CF,1
blocked_by_threshold,STM,1
blocked_by_threshold,NI,1
blocked_by_threshold,ALM,1
blocked_by_threshold,UUUU,1
blocked_by_threshold,PANW,1
blocked_by_threshold,WSC,1
blocked_by_threshold,ALK,1
blocked_by_threshold,GE,1
blocked_by_threshold,AAOI,1
blocked_by_threshold,UBS,1
blocked_by_threshold,ES,1
blocked_by_threshold,AAL,1
blocked_by_threshold,FOLD,1
blocked_by_threshold,VSNT,1
blocked_by_threshold,BJ,1
blocked_by_threshold,FLEX,1
blocked_by_threshold,ALKT,1
blocked_by_threshold,GPK,1
blocked_by_threshold,PFE,1
blocked_by_threshold,PDD,1
blocked_by_threshold,UPS,1
blocked_by_threshold,PENN,1
blocked_by_threshold,RYN,1
blocked_by_threshold,WDC,1
blocked_by_threshold,KKR,1
blocked_by_threshold,BATL,1
blocked_by_threshold,ADM,1
blocked_by_threshold,CCJ,1
blocked_by_threshold,BEAM,1
blocked_by_threshold,SMCI,1
blocked_by_threshold,APO,1
blocked_by_threshold,RKLB,1
blocked_by_threshold,IONQ,1
blocked_by_threshold,FSLY,1
blocked_by_threshold,LAZ,1
blocked_by_threshold,ZSL,1
blocked_by_threshold,HD,1
blocked_by_threshold,PL,1
blocked_by_threshold,BOIL,1
blocked_by_threshold,RUN,1
blocked_by_threshold,HMC,1
blocked_by_threshold,DXCM,1
blocked_by_threshold,GLW,1
blocked_by_threshold,SEI,1
blocked_by_threshold,NET,1
blocked_by_threshold,XPEV,1
blocked_by_threshold,FTNT,1
blocked_by_threshold,FLY,1
blocked_by_threshold,AM,1
blocked_by_threshold,ALAB,1
blocked_by_threshold,CAT,1
blocked_by_spread,ADMA,1
blocked_by_spread,CELH,1
blocked_by_spread,ONON,1
blocked_by_spread,DNLI,1
blocked_by_spread,TAP,1
blocked_by_spread,DAL,1
blocked_by_spread,XPEV,1
