section,key,count
summary,candidate_count,100
summary,approved_count,0
summary,rejected_count,100
reject_reason,target_return_below_threshold,99
reject_reason,vwap_relationship_blocked,1
blocked_by_threshold,UMAC,1
blocked_by_threshold,BLDR,1
blocked_by_threshold,SLM,1
blocked_by_threshold,RCAT,1
blocked_by_threshold,ENPH,1
blocked_by_threshold,CNH,1
blocked_by_threshold,GAP,1
blocked_by_threshold,AMAT,1
blocked_by_threshold,WVE,1
blocked_by_threshold,ADMA,1
blocked_by_threshold,UUUU,1
blocked_by_threshold,BW,1
blocked_by_threshold,BILI,1
blocked_by_threshold,LITE,1
blocked_by_threshold,RUN,1
blocked_by_threshold,CPNG,1
blocked_by_threshold,JEF,1
blocked_by_threshold,SOLS,1
blocked_by_threshold,UAL,1
blocked_by_threshold,FIGS,1
blocked_by_threshold,DOCN,1
blocked_by_threshold,WSC,1
blocked_by_threshold,IREN,1
blocked_by_threshold,HUT,1
blocked_by_threshold,RNG,1
blocked_by_threshold,SEDG,1
blocked_by_threshold,ALM,1
blocked_by_threshold,QBTS,1
blocked_by_threshold,ARIS,1
blocked_by_threshold,ENTG,1
blocked_by_threshold,LULU,1
blocked_by_threshold,PONY,1
blocked_by_threshold,RGTI,1
blocked_by_threshold,CORZ,1
blocked_by_threshold,DAR,1
blocked_by_threshold,FIGR,1
blocked_by_threshold,CDW,1
blocked_by_threshold,LUV,1
blocked_by_threshold,CGAU,1
blocked_by_threshold,GLW,1
blocked_by_threshold,PBR,1
blocked_by_threshold,CG,1
blocked_by_threshold,LSCC,1
blocked_by_threshold,ERAS,1
blocked_by_threshold,SWKS,1
blocked_by_threshold,TRU,1
blocked_by_threshold,DFTX,1
blocked_by_threshold,PGR,1
blocked_by_threshold,CNQ,1
blocked_by_threshold,GLXY,1
blocked_by_threshold,SATS,1
blocked_by_threshold,NTNX,1
blocked_by_threshold,SJM,1
blocked_by_threshold,TGT,1
blocked_by_threshold,PFE,1
blocked_by_threshold,OMC,1
blocked_by_threshold,PENN,1
blocked_by_threshold,TNDM,1
blocked_by_threshold,AAL,1
blocked_by_threshold,KLAR,1
blocked_by_threshold,FSLY,1
blocked_by_threshold,DNLI,1
blocked_by_threshold,BMNR,1
blocked_by_threshold,ORLA,1
blocked_by_threshold,ESTC,1
blocked_by_threshold,HMY,1
blocked_by_threshold,AESI,1
blocked_by_threshold,SCO,1
blocked_by_threshold,INSM,1
blocked_by_threshold,CIFR,1
blocked_by_threshold,QSR,1
blocked_by_threshold,AAOI,1
blocked_by_threshold,COHR,1
blocked_by_threshold,ALKT,1
blocked_by_threshold,S,1
blocked_by_threshold,GPN,1
blocked_by_threshold,SN,1
blocked_by_threshold,XRAY,1
blocked_by_threshold,GLDD,1
blocked_by_threshold,NTSK,1
blocked_by_threshold,CENX,1
blocked_by_threshold,WDC,1
blocked_by_threshold,BEAM,1
blocked_by_threshold,ZETA,1
blocked_by_threshold,ALB,1
blocked_by_threshold,WFC,1
blocked_by_threshold,WULF,1
blocked_by_threshold,CDNS,1
blocked_by_threshold,BBVA,1
blocked_by_threshold,AXTA,1
blocked_by_threshold,NU,1
blocked_by_threshold,KSS,1
blocked_by_threshold,FLG,1
blocked_by_threshold,OKTA,1
blocked_by_threshold,AU,1
blocked_by_threshold,NVAX,1
blocked_by_threshold,CAVA,1
blocked_by_threshold,BK,1
blocked_by_threshold,CART,1
blocked_by_spread,PRCT,1
blocked_by_spread,UMAC,1
blocked_by_spread,SLM,1
blocked_by_spread,RCAT,1
blocked_by_spread,ENPH,1
blocked_by_spread,WVE,1
blocked_by_spread,ADMA,1
blocked_by_spread,DOCN,1
blocked_by_spread,PONY,1
blocked_by_spread,ORLA,1
blocked_by_spread,AAOI,1
blocked_by_spread,BEAM,1
