section,key,count
summary,candidate_count,100
summary,approved_count,0
summary,rejected_count,100
reject_reason,target_return_below_threshold,93
reject_reason,liquidity_too_low,4
reject_reason,vwap_relationship_blocked,3
blocked_by_threshold,WRBY,1
blocked_by_threshold,BSY,1
blocked_by_threshold,FPS,1
blocked_by_threshold,CRWV,1
blocked_by_threshold,BEN,1
blocked_by_threshold,SEI,1
blocked_by_threshold,WAY,1
blocked_by_threshold,HUT,1
blocked_by_threshold,LUNR,1
blocked_by_threshold,PRCT,1
blocked_by_threshold,FRPT,1
blocked_by_threshold,ABNB,1
blocked_by_threshold,FLNC,1
blocked_by_threshold,O,1
blocked_by_threshold,HUN,1
blocked_by_threshold,NTLA,1
blocked_by_threshold,APLD,1
blocked_by_threshold,ASTS,1
blocked_by_threshold,BIRK,1
blocked_by_threshold,LNC,1
blocked_by_threshold,KVYO,1
blocked_by_threshold,SBSW,1
blocked_by_threshold,ALLY,1
blocked_by_threshold,HMC,1
blocked_by_threshold,WSC,1
blocked_by_threshold,EXPE,1
blocked_by_threshold,BW,1
blocked_by_threshold,TER,1
blocked_by_threshold,CIEN,1
blocked_by_threshold,BN,1
blocked_by_threshold,VG,1
blocked_by_threshold,UMAC,1
blocked_by_threshold,FROG,1
blocked_by_threshold,Q,1
blocked_by_threshold,TXG,1
blocked_by_threshold,CIFR,1
blocked_by_threshold,TEM,1
blocked_by_threshold,VRT,1
blocked_by_threshold,APG,1
blocked_by_threshold,COHR,1
blocked_by_threshold,TSEM,1
blocked_by_threshold,AAL,1
blocked_by_threshold,PCOR,1
blocked_by_threshold,AXTI,1
blocked_by_threshold,ODFL,1
blocked_by_threshold,SMCI,1
blocked_by_threshold,DOCN,1
blocked_by_threshold,IREN,1
blocked_by_threshold,CF,1
blocked_by_threshold,WDC,1
blocked_by_threshold,NVST,1
blocked_by_threshold,SMTC,1
blocked_by_threshold,QBTS,1
blocked_by_threshold,FITB,1
blocked_by_threshold,CTVA,1
blocked_by_threshold,AS,1
blocked_by_threshold,BRKR,1
blocked_by_threshold,CGAU,1
blocked_by_threshold,AMAT,1
blocked_by_threshold,OKLO,1
blocked_by_threshold,SU,1
blocked_by_threshold,IONQ,1
blocked_by_threshold,CC,1
blocked_by_threshold,SMR,1
blocked_by_threshold,FIGS,1
blocked_by_threshold,LCID,1
blocked_by_threshold,SNDK,1
blocked_by_threshold,CUZ,1
blocked_by_threshold,PGR,1
blocked_by_threshold,ON,1
blocked_by_threshold,KT,1
blocked_by_threshold,APP,1
blocked_by_threshold,TRI,1
blocked_by_threshold,CORZ,1
blocked_by_threshold,DX,1
blocked_by_threshold,AAOI,1
blocked_by_threshold,KRMN,1
blocked_by_threshold,PAGS,1
blocked_by_threshold,PBF,1
blocked_by_threshold,KLAR,1
blocked_by_threshold,AG,1
blocked_by_threshold,RYAN,1
blocked_by_threshold,RNA,1
blocked_by_threshold,W,1
blocked_by_threshold,INDV,1
blocked_by_threshold,SCHW,1
blocked_by_threshold,AMT,1
blocked_by_threshold,PR,1
blocked_by_threshold,FNGU,1
blocked_by_threshold,AMKR,1
blocked_by_threshold,LRCX,1
blocked_by_threshold,AMPX,1
blocked_by_threshold,GTES,1
blocked_by_spread,ROKU,1
blocked_by_spread,BE,1
blocked_by_spread,ADMA,1
blocked_by_spread,WRBY,1
blocked_by_spread,FPS,1
blocked_by_spread,CRWV,1
blocked_by_spread,SEI,1
blocked_by_spread,LUNR,1
blocked_by_spread,FLNC,1
blocked_by_spread,NTLA,1
blocked_by_spread,APLD,1
blocked_by_spread,ASTS,1
blocked_by_spread,KVYO,1
blocked_by_spread,BW,1
blocked_by_spread,TER,1
blocked_by_spread,CIEN,1
blocked_by_spread,VG,1
blocked_by_spread,UMAC,1
blocked_by_spread,TXG,1
blocked_by_spread,CIFR,1
blocked_by_spread,COHR,1
blocked_by_spread,AXTI,1
blocked_by_spread,IREN,1
blocked_by_spread,WDC,1
blocked_by_spread,SMTC,1
blocked_by_spread,QBTS,1
blocked_by_spread,AS,1
blocked_by_spread,SNDK,1
blocked_by_spread,ON,1
blocked_by_spread,AAOI,1
blocked_by_spread,KRMN,1
blocked_by_spread,FNGU,1
blocked_by_spread,AMPX,1
