section,key,count
summary,candidate_count,100
summary,approved_count,0
summary,rejected_count,100
reject_reason,target_return_below_threshold,46
reject_reason,liquidity_too_low,28
reject_reason,vwap_relationship_blocked,17
reject_reason,spread_too_wide,9
blocked_by_threshold,BOX,1
blocked_by_threshold,UUUU,1
blocked_by_threshold,CCL,1
blocked_by_threshold,SPOT,1
blocked_by_threshold,SOC,1
blocked_by_threshold,AXTA,1
blocked_by_threshold,NTNX,1
blocked_by_threshold,CSX,1
blocked_by_threshold,TEAM,1
blocked_by_threshold,SPGI,1
blocked_by_threshold,QXO,1
blocked_by_threshold,RIOT,1
blocked_by_threshold,RDDT,1
blocked_by_threshold,HMC,1
blocked_by_threshold,OC,1
blocked_by_threshold,AXTI,1
blocked_by_threshold,FSLY,1
blocked_by_threshold,BA,1
blocked_by_threshold,CRBG,1
blocked_by_threshold,TEVA,1
blocked_by_threshold,FTNT,1
blocked_by_threshold,CHWY,1
blocked_by_threshold,RKLB,1
blocked_by_threshold,ESTC,1
blocked_by_threshold,IOT,1
blocked_by_threshold,GLL,1
blocked_by_threshold,HOOD,1
blocked_by_threshold,CRCL,1
blocked_by_threshold,ALM,1
blocked_by_threshold,GTLB,1
blocked_by_threshold,NTLA,1
blocked_by_threshold,REAL,1
blocked_by_threshold,ZS,1
blocked_by_threshold,FIG,1
blocked_by_threshold,WVE,1
blocked_by_threshold,TNGX,1
blocked_by_threshold,PRCT,1
blocked_by_threshold,BMNR,1
blocked_by_threshold,TXG,1
blocked_by_threshold,ODD,1
blocked_by_threshold,SNOW,1
blocked_by_threshold,BRZE,1
blocked_by_threshold,CCJ,1
blocked_by_threshold,INTU,1
blocked_by_threshold,RCAT,1
blocked_by_threshold,DHR,1
blocked_by_spread,WULF,1
blocked_by_spread,PL,1
blocked_by_spread,ETSY,1
blocked_by_spread,ENPH,1
blocked_by_spread,ADMA,1
blocked_by_spread,TENB,1
blocked_by_spread,TSEM,1
blocked_by_spread,S,1
blocked_by_spread,CRWV,1
blocked_by_spread,FLNC,1
blocked_by_spread,HUN,1
blocked_by_spread,ONDS,1
blocked_by_spread,SNDK,1
blocked_by_spread,U,1
blocked_by_spread,ZETA,1
blocked_by_spread,CNC,1
blocked_by_spread,NET,1
blocked_by_spread,PANW,1
blocked_by_spread,BATL,1
blocked_by_spread,VRT,1
blocked_by_spread,CCL,1
blocked_by_spread,NTNX,1
blocked_by_spread,QXO,1
blocked_by_spread,RDDT,1
blocked_by_spread,AXTI,1
blocked_by_spread,FSLY,1
blocked_by_spread,RKLB,1
blocked_by_spread,ESTC,1
blocked_by_spread,HOOD,1
blocked_by_spread,CRCL,1
blocked_by_spread,GTLB,1
blocked_by_spread,REAL,1
blocked_by_spread,ZS,1
blocked_by_spread,TNGX,1
blocked_by_spread,TXG,1
blocked_by_spread,ODD,1
blocked_by_spread,INTU,1
blocked_by_spread,RCAT,1
