event_id,symbol,broker_mode,signal_source,final_decision_status,rejection_reason_code,predicted_return,qlib_raw_score,candidate_rank
b69433b5-c772-40b4-9d39-1af0b0476a70,ZSL,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.00033812241897731036,0.00033812241897731036,1
f942faf4-84df-40e8-9630-6afa29b0eb1f,TQQQ,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.0002034344565917747,0.0002034344565917747,2
74b60966-355b-4661-8d0a-be3e6ee7a8a8,CPRT,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.0001500466551894882,0.0001500466551894882,3
81511467-a07e-4dcf-a7f6-b310d8adb9c2,SMR,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,9.780404695118563e-05,9.780404695118563e-05,4
d1d864e3-9680-4246-b797-926c2134fd78,TOST,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,8.71731487838085e-05,8.71731487838085e-05,5
02192f5e-7690-4eca-956a-eabb121a51d1,SMCI,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,6.012983478401224e-05,6.012983478401224e-05,6
9ca9b6cf-787e-4b87-b1c4-a4469504d122,QID,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,5.8540183229580785e-05,5.8540183229580785e-05,7
3c8ed739-8985-4376-8427-2f56f86407df,BMNR,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,5.810693118677083e-05,5.810693118677083e-05,8
b3b9c3dc-9cf9-46e9-ad69-168b8c8f931e,ONDS,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,5.610710352315318e-05,5.610710352315318e-05,9
7ab8b26c-9fe9-485c-97d1-f74a0f3457ce,NOW,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,5.1723270687350904e-05,5.1723270687350904e-05,10
e911d34e-4596-488f-9f83-3b369474efe3,TTD,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,4.4589069183976625e-05,4.4589069183976625e-05,11
1dcf03b0-5891-4895-8841-ddb54eda9a67,RIOT,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,4.0584134194761934e-05,4.0584134194761934e-05,12
ad741033-64e0-4ae7-a85b-829b139f8094,MRVL,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,3.5340281498548996e-05,3.5340281498548996e-05,13
d0ce5dff-1ccd-4a6e-a8fc-e37ce0162663,IREN,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,3.510062787634381e-05,3.510062787634381e-05,14
11922a1f-70d5-4484-a848-e34bb70c4fb5,CCL,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,3.1567160335585044e-05,3.1567160335585044e-05,15
f784a50f-8a86-448f-9e34-574b3f5a1c83,TME,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,3.0946970206658256e-05,3.0946970206658256e-05,16
37ef1560-d40b-4147-8f9b-df1e6cc15642,CMCSA,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,2.8830065355861395e-05,2.8830065355861395e-05,17
200d66a9-b18a-49b9-8e85-c37aa631d68f,CSCO,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,2.3593146631100412e-05,2.3593146631100412e-05,18
b2d3caaa-bed2-40b1-beac-0bbd09ba5afb,RUN,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,2.2647857473271022e-05,2.2647857473271022e-05,19
3fc7409c-5a6f-49a4-b65f-7b0079f5f197,BKR,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,2.006935068575784e-05,2.006935068575784e-05,20
