event_id,symbol,broker_mode,signal_source,final_decision_status,rejection_reason_code,predicted_return,qlib_raw_score,candidate_rank
9aa86c04-ffa1-47ad-9879-7680d672fdfd,KMI,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.002245210798436312,0.002245210798436312,1
9e5cfea2-74ca-4afe-bef2-93295d307c98,OXY,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.0012402709963829093,0.0012402709963829093,2
b3f7ae8d-fb08-4709-842d-3cbb8225cdfc,PINS,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.0011065806713425755,0.0011065806713425755,3
11c7533e-bda7-4610-8db8-4a89fc0ddd7f,AMD,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.0009617695814636583,0.0009617695814636583,4
6d00bc18-1075-4986-8058-67d19b6479bc,FIG,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.0005750802106672233,0.0005750802106672233,5
d901536a-b668-4d75-bf4b-aaaf54e1e209,ORCL,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.00041324659852027954,0.00041324659852027954,6
9ef3ac97-5f36-4988-b6c9-ed55ca36f455,B,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.0003549163268520094,0.0003549163268520094,7
09660444-abca-440e-b20c-9cff8a7b2b4d,NVO,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.00034648660108038747,0.00034648660108038747,8
833d6a31-1a05-4fee-a211-7098e6c64648,HDB,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.00033392470470288885,0.00033392470470288885,9
a62513a9-8e42-4e88-a127-5738971c5865,PLTR,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.00030980876776140676,0.00030980876776140676,10
0247765f-7436-429a-af91-8b32e625a4b9,CTRA,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.00029609571262016797,0.00029609571262016797,11
4ab50ac8-4f20-4867-b362-0b61cc1434e2,MOS,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.0002956278898968066,0.0002956278898968066,12
00d6b8ce-1e7a-43b5-84ae-8a6c7c9cc347,DKNG,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.0002799519591773645,0.0002799519591773645,13
377a02e5-2a76-4058-a7d1-6482096f1a96,CRWV,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.0002749677649446488,0.0002749677649446488,14
28e0ea3e-470a-4fb1-add3-8bed4c354bdc,PYPL,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.0002731401382108338,0.0002731401382108338,15
83379b2b-fa90-4428-9de4-118770ba4e60,NCLH,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.00027045792621378394,0.00027045792621378394,16
8b58d336-82a2-4b90-8492-977589e37368,HIMS,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.00025688304031310383,0.00025688304031310383,17
a7bfa1f7-9e52-49b4-8040-6c6a0ad2828b,GIS,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.00023708496500529565,0.00023708496500529565,18
59e0e994-bf62-4ef7-b3b2-6e3ed0631447,BSX,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.00023405275444708814,0.00023405275444708814,19
660c74f6-164f-4e08-a41b-b17fda1d8be7,USB,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.0001912852667124062,0.0001912852667124062,20
07a81c75-5d17-4a7c-aff4-f90e659313cd,DOW,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.00018585333861911513,0.00018585333861911513,21
6249099c-c96b-4ffb-b4c7-21299758c887,VZ,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.00017476949921627042,0.00017476949921627042,22
e6205466-ff1c-42ae-a26d-06c239f7e044,EQT,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.00017019202372796726,0.00017019202372796726,23
60b0c34a-d8ec-40e5-9df0-16c42afe53d3,DVN,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.00016698067996681867,0.00016698067996681867,24
f8198e98-f198-4cca-887f-35a633bc60c1,KVUE,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.00014312398172058058,0.00014312398172058058,25
73551384-f705-48db-808c-6480ba1738d6,KHC,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.0001398258649107053,0.0001398258649107053,26
b9eacf96-7fdf-496c-b017-092972dacf6a,AAPL,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.00013165955769196545,0.00013165955769196545,27
42d714a5-1d15-437d-af75-91e415aca5b5,BP,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.00011932585390694842,0.00011932585390694842,28
7bf22507-a652-41d9-a5ec-031044c9de65,CRM,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.00011871363254070476,0.00011871363254070476,29
16228a54-fd58-4d85-bf2e-5a76c687cecd,CVE,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.00011057464836822131,0.00011057464836822131,30
e4a96903-1fab-4146-8b96-4474a3300d6c,GLW,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.00010673512001249568,0.00010673512001249568,31
880db509-ba87-4b41-abec-da2f67c0e958,WBD,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.0001054400830471948,0.0001054400830471948,32
a5bea358-aa7a-4420-8ae1-3f1356bd86a7,KDP,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.00010392336057385252,0.00010392336057385252,33
82546c9b-c899-484e-a31f-85e7c772c8ad,KGC,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,9.986386380783632e-05,9.986386380783632e-05,34
34590c09-bbde-4cf6-b215-2ebbccd4173f,SLB,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,9.058173547765991e-05,9.058173547765991e-05,35
13fac07d-ba0e-40f2-9cd5-2d97e2501973,CPNG,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,8.942646092001629e-05,8.942646092001629e-05,36
7ced8e6f-638e-432c-bc34-1298facf4120,VALE,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,8.857948943567631e-05,8.857948943567631e-05,37
b8eeae42-08d8-4b3e-9140-a3beeaf4d71d,CMCSA,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,8.282176309182727e-05,8.282176309182727e-05,38
4455cffd-c00c-4b0f-98ed-1e892e8a81f8,CNQ,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,8.216662838261498e-05,8.216662838261498e-05,39
d30d3c06-3b00-42eb-803c-04ea7184cc02,RIVN,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,8.076905922325877e-05,8.076905922325877e-05,40
92938d4b-08ed-4308-8e67-f3c913708e1a,NKE,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,7.974154287527754e-05,7.974154287527754e-05,41
ca273a07-3ac0-4461-a0e6-048aa315cde7,C,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,7.930466298970393e-05,7.930466298970393e-05,42
0abf214c-3f3f-4df6-9543-774540466e37,XOM,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,7.782823706718718e-05,7.782823706718718e-05,43
7099fc76-6d4a-4414-a094-d35b4fc3d42d,PCG,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,7.749548914454734e-05,7.749548914454734e-05,44
10c0a277-bbe2-49dc-bf16-dcf7ddf4df11,KO,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,6.115989573976528e-05,6.115989573976528e-05,45
d78231a3-e19d-4c4b-8390-326f7cbc52a0,T,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,4.718535611766099e-05,4.718535611766099e-05,46
b0bd770d-82fe-4678-be6a-8f2ab0b7a427,BAC,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,4.4949914419248125e-05,4.4949914419248125e-05,47
ea45cee2-8e48-484c-9aac-aa14df4265f3,CPRT,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,3.6959743879194086e-05,3.6959743879194086e-05,48
ff7360ee-6c06-4276-ae7d-5c1dcc15d327,KKR,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,3.470786077052947e-05,3.470786077052947e-05,49
5611639f-ff8e-43f1-96e1-28d144c6c198,PFE,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,2.9858157155092848e-05,2.9858157155092848e-05,50
22131248-8d50-44c2-9b79-b86711e2e451,TTD,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,2.7915892790718575e-05,2.7915892790718575e-05,51
