event_id,symbol,broker_mode,signal_source,final_decision_status,rejection_reason_code,predicted_return,qlib_raw_score,candidate_rank
ad2a38ef-fe54-429d-97fc-2ce96210b630,NCLH,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.00014140688459756505,0.00014140688459756505,1
7d73a578-1b02-409d-8de9-9bc6677e69a1,CDE,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,0.00013498236467442473,0.00013498236467442473,2
5df5a7ac-c92b-476f-8714-af8cd9ccaaff,OXY,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,8.397120125645673e-05,8.397120125645673e-05,3
cbc9dd26-ab6a-4f61-a73d-065ebc204a83,HPE,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,5.639929889247138e-05,5.639929889247138e-05,4
5ae0e629-46b6-49fc-8c31-92a73bdacf3d,QBTS,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,3.0206008358759782e-05,3.0206008358759782e-05,5
fd3b0075-933d-4e8c-b359-1d2c16b4282a,HIMS,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,2.9095058514295597e-05,2.9095058514295597e-05,6
2cc4d38a-3ae3-4aa9-9e92-b60a5ef3a125,HL,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,2.47655970175179e-05,2.47655970175179e-05,7
80292808-b112-4c6b-ad72-acdad1709a63,BKR,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,2.1056798822369604e-05,2.1056798822369604e-05,8
21df87af-bc6a-4fe6-84ea-5532a30dc893,HAL,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,1.8780742401023327e-05,1.8780742401023327e-05,9
40168a9c-4c95-4c79-bb66-3420cd6ec4ad,MDLZ,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,1.777587322810771e-05,1.777587322810771e-05,10
1a6156a6-16ad-4f17-90f9-08324cc45a6a,BP,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,1.6373147550873325e-05,1.6373147550873325e-05,11
e8f27eb5-57b9-4168-a0ec-8475e21fc73b,GLW,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,1.4748646621950942e-05,1.4748646621950942e-05,12
d1169ad2-d8d9-424e-af03-3768337d8b41,SMCI,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,1.3957229647320686e-05,1.3957229647320686e-05,13
e210bbed-ea7f-48a2-989b-b526f9139e19,AG,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,1.3163154259990038e-05,1.3163154259990038e-05,14
16a48613-0a3b-44ee-a2ae-4f257ec37848,CNQ,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,1.2539420616771478e-05,1.2539420616771478e-05,15
f6909efa-af69-41c4-bb1a-9e8eb558d05f,BMY,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,1.2203801455733593e-05,1.2203801455733593e-05,16
544f9c84-14db-46ea-9f2d-66b13a8548db,CVE,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,1.091880121393678e-05,1.091880121393678e-05,17
26413809-05a4-46e3-994d-8ad894ca73f9,DOW,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,9.155296047984673e-06,9.155296047984673e-06,18
22eb5c9f-55c4-4dec-aa93-51f2e7ff7d15,CMCSA,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,8.864932675436772e-06,8.864932675436772e-06,19
0dd74e36-5abd-4f09-a07e-57def6028cfb,UBER,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,8.600004226514554e-06,8.600004226514554e-06,20
bf38a831-c122-4c85-b43c-e8972f083eaf,PR,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,8.000699227875512e-06,8.000699227875512e-06,21
4251443c-25c4-4a2d-afcb-f907537eda20,KMI,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,7.666716645680706e-06,7.666716645680706e-06,22
71b78213-b852-4e63-851d-bf42e2103acc,DKNG,alpaca_paper_api,qlib_candidate_only,rejected,target_return_below_threshold,7.317196240616933e-06,7.317196240616933e-06,23
