timeframe,symbol,row_count,unique_trading_days,coverage_ratio,stale,schema_ok,interval_alignment_ok,passes,failure_reason
1m,NVDA,106784,265,1.0,False,True,True,True,
1m,AMZN,102562,265,0.9923754233188196,False,True,True,True,
1m,MSFT,98220,265,0.9503628447024673,False,True,True,True,
1m,AAPL,102796,265,0.9946395742622157,False,True,True,True,
1m,TSLA,103237,265,0.9989066279632317,False,True,True,True,
1m,MU,98054,265,0.9487566521528785,False,True,True,True,
1m,AVGO,99604,265,0.9637542331881954,False,True,True,True,
1m,GOOGL,102234,265,0.9892017416545719,False,True,True,True,
1m,AMD,102002,265,0.9869569424286405,False,True,True,True,
1m,XOM,100572,265,0.9731204644412191,False,True,True,True,
1m,INTC,107223,265,1.0,False,True,True,True,
1m,BAC,101035,265,0.9776003870343493,False,True,True,True,
1m,CRM,85022,265,0.8226608611514272,False,True,True,True,
1m,PLTR,102463,265,0.9914175133043057,False,True,True,True,
1m,CSCO,99734,265,0.9650120948234155,False,True,True,True,
1m,ORCL,96313,265,0.9319109820996614,False,True,True,True,
1m,WMT,100488,265,0.9723076923076923,False,True,True,True,
1m,NOW,52139,265,0.5044895984518626,False,True,True,False,coverage
1m,WFC,99899,265,0.9666086115142719,False,True,True,True,
1m,GLW,84599,265,0.8185679729075955,False,True,True,True,
1m,KO,97921,265,0.947469762941461,False,True,True,True,
1m,VZ,97266,265,0.9411320754716981,False,True,True,True,
1m,T,96515,265,0.9338655055636188,False,True,True,True,
1m,FCX,99306,265,0.9608708272859217,False,True,True,True,
1m,C,97620,265,0.9445573294629899,False,True,True,True,
1m,UBER,100492,265,0.9723463957426222,False,True,True,True,
1m,PFE,100381,265,0.9712723754233188,False,True,True,True,
1m,CMCSA,97901,265,0.9472762457668118,False,True,True,True,
1m,PYPL,97404,265,0.9424673439767779,False,True,True,True,
1m,SLB,98365,265,0.9517658442186744,False,True,True,True,
1m,WBD,95433,265,0.9233962264150943,False,True,True,True,
1m,BSX,92956,265,0.8994291243347847,False,True,True,True,
1m,BMY,98498,265,0.9530527334300919,False,True,True,True,
1m,NKE,99594,265,0.9636574746008708,False,True,True,True,
1m,KKR,76838,265,0.7434736332849541,False,True,True,False,coverage
1m,MRVL,42767,119,0.9215039862098685,False,True,True,True,
1m,DAL,93306,265,0.9028156748911466,False,True,True,True,
1m,CRWV,84508,247,0.8772760303124676,False,True,True,True,
1m,B,93931,264,0.9123057498057499,False,True,True,True,
1m,DVN,91315,265,0.8835510401548138,False,True,True,True,
1m,NVO,96748,265,0.9361199806482825,False,True,True,True,
1m,SOFI,101674,265,0.9837832607643928,False,True,True,True,
1m,CSX,94972,265,0.9189356555394291,False,True,True,True,
1m,OXY,94164,265,0.9111175616835994,False,True,True,True,
1m,HOOD,100016,265,0.96774068698597,False,True,True,True,
1m,CCL,98223,265,0.9503918722786647,False,True,True,True,
1m,HAL,94469,265,0.9140686985970005,False,True,True,True,
1m,CMG,100029,265,0.967866473149492,False,True,True,True,
1m,MDLZ,94470,265,0.9140783744557329,False,True,True,True,
1m,PBR,72995,265,0.7062893081761006,False,True,True,False,coverage
1m,CNQ,80648,265,0.7803386550556362,False,True,True,False,coverage
1m,BP,85665,265,0.8288824383164006,False,True,True,True,
1m,USB,92732,265,0.8972617319787131,False,True,True,True,
1m,EXC,88192,265,0.8533333333333334,False,True,True,True,
1m,EQT,93194,265,0.9017319787131108,False,True,True,True,
1m,BKR,42386,119,0.9132945485886662,False,True,True,True,
1m,SMCI,101274,265,0.9799129172714078,False,True,True,True,
1m,DOW,96279,265,0.9315820029027576,False,True,True,True,
1m,FITB,87427,265,0.8459313014029995,False,True,True,True,
